	StationID	YEAR	MONTH	ELEMENT	VALUE	DAY	Snow (inches)	Season	Latitude	Longitude	Elevation	State	StationName	GSN_Flag	HCN_CRN_Flag	WMO_ID	CountryCode	CountryName	StateName
3	USW00014942	1948	1	SNOW	74	1	2.9133858267716537	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
3	USW00014942	1948	1	SNOW	41	18	1.6141732283464567	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
3	USW00014942	1948	1	SNOW	8	21	0.31496062992125984	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
3	USW00014942	1948	1	SNOW	43	22	1.6929133858267718	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
3	USW00014942	1948	1	SNOW	25	24	0.984251968503937	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
14	USW00014942	1948	2	SNOW	15	3	0.5905511811023623	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
14	USW00014942	1948	2	SNOW	132	10	5.196850393700788	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
14	USW00014942	1948	2	SNOW	36	11	1.4173228346456694	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
14	USW00014942	1948	2	SNOW	5	12	0.1968503937007874	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
14	USW00014942	1948	2	SNOW	15	13	0.5905511811023623	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
14	USW00014942	1948	2	SNOW	10	21	0.3937007874015748	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
14	USW00014942	1948	2	SNOW	135	29	5.31496062992126	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
26	USW00014942	1948	3	SNOW	135	1	5.31496062992126	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
26	USW00014942	1948	3	SNOW	119	2	4.685039370078741	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
26	USW00014942	1948	3	SNOW	246	5	9.68503937007874	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
26	USW00014942	1948	3	SNOW	107	6	4.212598425196851	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
26	USW00014942	1948	3	SNOW	3	7	0.11811023622047245	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
26	USW00014942	1948	3	SNOW	5	9	0.1968503937007874	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
26	USW00014942	1948	3	SNOW	5	10	0.1968503937007874	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
26	USW00014942	1948	3	SNOW	46	26	1.8110236220472442	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
26	USW00014942	1948	3	SNOW	18	27	0.7086614173228347	47-48	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
109	USW00014942	1948	11	SNOW	102	21	4.015748031496063	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
123	USW00014942	1948	12	SNOW	28	5	1.1023622047244095	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
123	USW00014942	1948	12	SNOW	41	8	1.6141732283464567	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
123	USW00014942	1948	12	SNOW	23	9	0.9055118110236221	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
123	USW00014942	1948	12	SNOW	112	23	4.409448818897638	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
123	USW00014942	1948	12	SNOW	97	24	3.818897637795276	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
123	USW00014942	1948	12	SNOW	15	29	0.5905511811023623	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
136	USW00014942	1949	1	SNOW	20	9	0.7874015748031497	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
136	USW00014942	1949	1	SNOW	48	10	1.8897637795275593	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
136	USW00014942	1949	1	SNOW	3	11	0.11811023622047245	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
136	USW00014942	1949	1	SNOW	30	20	1.1811023622047245	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
136	USW00014942	1949	1	SNOW	292	27	11.496062992125985	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
136	USW00014942	1949	1	SNOW	41	28	1.6141732283464567	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
136	USW00014942	1949	1	SNOW	5	31	0.1968503937007874	48-49	41.3103	-95.8992	299.3	NE	OMAHA EPPLEY AIRFIELD			72550.0	US	United States	NEBRASKA
